frame,start,end,duration,voiceover_exact,motion
011,300.68,324.5,23.82,في أي كتاب آخر، قد تُغتفر مثل هذه الأخطاء. لكن في نص يُفترض أن يُتلى حرفياً بلا أي انحراف، فإن هذا المستوى من الأخطاء لم يكن مجرد عيب تقني: بل كان، على الأرجح، سبباً كافياً لرفض الكتاب رفضاً تاماً من جمهوره المستهدف في العالم الإسلامي.,wide->push_in->pan_detail (3-stage)
012,324.5,350.97,26.47,والنتيجة كانت غريبة إلى حد يصعب تصديقه. فبعد هذا الجهد الهائل، وبعد طباعة نسخ عديدة بلا شك، بدأت الطبعة بأكملها تختفي من التاريخ. لم تعد تظهر في أسواق الكتب. لم تعد تُذكر إلا كخبر متناقل. ولم يتمكن أي باحث، لقرون طويلة تالية، من وضع يده على نسخة واحدة يفحصها بنفسه.,wide->push_in->pan_detail (3-stage)
013,350.97,371.62,20.64,كيف يختفي كتاب مطبوع، لا كتاب مخطوط واحد، بل طبعة كاملة، من الوجود؟ هنا بالضبط تبدأ الروايات المتضاربة. وهنا يجب أن نكون دقيقين جداً في التفريق بين ما هو موثق، وما هو استنتاج علمي، وما هو مجرد أسطورة متأخرة.,wide->push_in->pan_detail (3-stage)
014,371.62,402.81,31.19,إحدى أشهر الروايات التي تناقلها الناس عبر القرون تقول إن البابا أمر بإحراق الطبعة بأكملها فور علمه بها. رواية درامية، تصلح لفيلم سينمائي. لكن الباحثين المتخصصين في تاريخ الطباعة يعاملون هذه الرواية بحذر شديد: فهي ليست مدعومة بوثيقة رسمية واحدة تثبت صدور مثل هذا الأمر. إنها، في أفضل الأحوال، أسطورة متأخرة، تكررت حتى بدت وكأنها حقيقة.,wide->push_in->pan_detail (3-stage)
015,402.81,429.55,26.74,ما هو موثق فعلاً هو أضيق من ذلك بكثير: نعرف أن الطبعة طُبعت. نعرف أنها لم تنتشر تجارياً كما كان مخططاً لها. ونعرف أن أثرها المادي تلاشى بشكل شبه كامل. أما السبب الدقيق، الحاسم، الموثق بمصدر مباشر، لهذا الاختفاء الجماعي، فهو، وبكل أمانة علمية، غير معروف حتى اليوم.,wide->push_in->pan_detail (3-stage)
016,429.55,461.3,31.75,ربما فشلت الطبعة تجارياً بسبب أخطائها الفادحة، فرفضها التجار والمشترون في اسطنبول قبل أن تُوزَّع على نطاق واسع. وربما أُتلفت كميات كبيرة منها لأسباب دينية أو سياسية لم تُوثَّق. وربما ببساطة تبعثرت النسخ القليلة المطبوعة عبر الزمن، كما يحدث لكثير من الكتب النادرة التي لا تحظى بمن يحفظها. لا نملك دليلاً قاطعاً يرجّح تفسيراً واحداً على البقية.,wide->push_in->pan_detail (3-stage)
017,461.3,491.93,30.64,ما نعرفه بيقين هو أن الأجيال التالية من علماء الببليوغرافيا كانت تعرف أن هذه الطبعة موجودة، أو كانت موجودة، لكنها كانت عاجزة عن رؤيتها. في القرن الثامن عشر، كتب العالم الإيطالي جيوفاني برناردو دي روسي دراسة كاملة عن هذا القرآن المطبوع في مطبعة باغانيني، معتمداً على إشارات ومراجع قديمة، لا على نسخة يفحصها بين يديه.,wide->push_in->pan_detail (3-stage)
018,491.93,514.77,22.84,تخيّل الوضع: مؤرخ يكتب بحثاً أكاديمياً كاملاً عن كتاب، مستنداً إلى شهادات ومراجع من عصور سابقة تؤكد أن هذا الكتاب طُبع فعلاً، بينما لا يستطيع هو نفسه أن يجد نسخة واحدة يمسكها بيده. كتاب موثق في السجلات، غائب تماماً عن الرفوف.,wide->push_in->pan_detail (3-stage)
019,514.77,539.28,24.51,هذه الحالة استمرت جيلاً بعد جيل. كل من يبحث في تاريخ الطباعة الأوروبية للعربية يعرف اسم قرآن باغانيني. لكن لا أحد يعرف مكانه. أصبح الكتاب أشبه بأسطورة أكاديمية: نص يُستشهد به في الحواشي، ويُختلف حول مصيره في المقدمات، لكنه غائب تماماً عن الواقع المادي.,wide->push_in->pan_detail (3-stage)
020,539.28,563.98,24.7,مرّ القرن التاسع عشر. ومرّ القرن العشرون. ولا تزال قصة قرآن باغانيني تتكرر في كتب تاريخ الطباعة على أنها طبعة مفقودة بالكامل. لم يبقَ، على ما يبدو، ولو نسخة واحدة، من أول قرآن عربي كامل طُبع بالحروف المتحركة في التاريخ.,wide->push_in->pan_detail (3-stage)
021,563.98,589.91,25.93,وفي كل مرة يُعاد فيها سرد هذه القصة، كانت تُطرح الأسئلة نفسها من دون إجابة: هل أُتلفت النسخ عمداً؟ هل ضاعت مع الزمن بلا سبب مأساوي؟ هل تحتفظ بها مكتبة ما، غير مصنّفة، غير معروفة، في مكان لم يخطر على بال أحد؟,wide->push_in->pan_detail (3-stage)
022,589.91,609.66,19.76,الإجابة، حين جاءت أخيراً، لم تأتِ من أرشيف عثماني، ولا من مكتبة فاتيكانية، بل من داخل مدينة البندقية نفسها، من مكان قريب جغرافياً من حيث طُبع الكتاب قبل أكثر من أربعة قرونا.,wide->push_in->pan_detail (3-stage)
023,609.66,631.27,21.61,في جزيرة صغيرة داخل شواطئ البندقية، تُعرف باسم جزيرة سان ميكيله، توجد مكتبة تابعة لرهبان فرنسيسكان، جمعوا عبر قرون طويلة مخطوطات وكتباً نادرة، من دون أن يُعرف على وجه الدقة كل ما تحتويه رفوفهم القديمة.,wide->push_in->pan_detail (3-stage)
024,631.27,651.65,20.37,في عام 1987، كانت الباحثة الإيطالية أنجيلا نوفو تُجري دراسة متخصصة في تاريخ صناعة باغانيني وأعماله الطباعية، حين وقعت عيناها، بين مقتنيات تلك المكتبة الفرنسيسكانية، على مجلد عربي قديم، مختلف عمّا كانت تتوقعه.,wide->push_in->pan_detail (3-stage)
025,651.65,679.08,27.44,لم يكن مجرد مخطوطة عربية أخرى من آلاف المخطوطات الشرقية المحفوظة في مكتبات أوروبا. عند فحص الصفحات عن قرب، ظهر أمر لافت: هذا النص لم يكن مكتوباً بخط اليد. كانت حروفه العربية مطبوعة، بأسلوب صناعي متكرر، تماماً كما تُطبع الحروف اللاتينية في الكتب الأوروبية من ذلك العصر.,wide->push_in->pan_detail (3-stage)
026,679.08,703.6,24.52,كانت هذه لحظة حاسمة. مخطوطة عربية باليد، أمر مألوف تماماً في مكتبات أوروبا. أما قرآن كامل، مطبوع بالعربية، بالحروف المتحركة، من القرن السادس عشر، فذلك شيء آخر تماماً، شيء كان يُفترض ألا يكون موجوداً بحسب كل ما عرفه المؤرخون طوال أربعة قرون.,wide->push_in->pan_detail (3-stage)
027,703.6,729.29,25.68,بدأت أنجيلا نوفو تفحص الكتاب بدقة أكاديمية صارمة. قارنت شكل الحروف، وتفاصيل التصميم الطباعي، وطريقة تنظيم الصفحة، بما هو معروف عن أعمال مطبعة باغانيني في تلك الحقبة تحديداً. كل التفاصيل التقنية كانت تتطابق. كانت هذه النسخة التي بحث عنها الباحثون بلا جدوى منذ قرون.,wide->push_in->pan_detail (3-stage)
028,729.29,754.97,25.68,والأكثر إثارة أن هذه النسخة لم تكن مجهولة المصدر بالكامل. تحمل صفحاتها إشارة ملكية تعود إلى تيزيو أمبروجيو ديلي ألبونيزي، عالم لغات شرقية عاش في تلك الحقبة نفسها، وذكر هذا القرآن المطبوع في أحد كتبه الخاصة عام 1539، أي بعد الطباعة بفترة قصيرة جداً.,wide->push_in->pan_detail (3-stage)
029,754.97,790.0,35.02,وتحمل النسخة أيضاً ختماً يعود إلى نائب محكمة التفتيش الكنسية في مدينة كريمونا الإيطالية. وهذا التفصيل وحده يفتح باباً آخر من التساؤلات: هل مرّ هذا الكتاب بمراحل رقابة دينية في وقت من الأوقات؟ الوثائق لا تخبرنا بالتفاصيل الكاملة، لكنها تؤكد أن الكتاب انتقل عبر أيدٍ محددة، تركت آثارها على صفحاته، قبل أن يستقر أخيراً في مكتبة الرهبان بجزيرة سان ميكيله.,wide->push_in->pan_detail (3-stage)
030,790.0,816.26,26.27,"نشرت أنجيلا نوفو نتائج بحثها في مقالة أكاديمية بعنوان ""القرآن العربي المستعاد""، ثم تُرجمت لاحقاً إلى الإنجليزية بعنوان يلخّص القصة بدقة: ""قرآن عربي مفقود، أُعيد اكتشافه"". الخبر انتشر بسرعة في الأوساط الأكاديمية المتخصصة في تاريخ الطباعة والدراسات الإسلامية، وتُرجم إلى لغات عدة، من بينها العربية.",wide->push_in->pan_detail (3-stage)
031,816.26,841.54,25.28,لماذا كانت هذه اللحظة بهذه الأهمية العلمية الكبرى؟ لأنها لم تكن مجرد إيجاد كتاب قديم. كانت الدليل المادي الوحيد على أن مشروع طباعة القرآن في أوروبا القرن السادس عشر لم يكن مجرد خبر متناقل، بل حقيقة تاريخية يمكن لمسها وفحصها وقراءتها.,wide->push_in->pan_detail (3-stage)
032,841.54,863.12,21.58,بفضل هذه النسخة الوحيدة، تمكّن الباحثون أخيراً من دراسة التفاصيل التقنية الدقيقة لطريقة تعامل الطابعين الأوروبيين مع تحدي الحرف العربي المتصل: كيف صمموا القوالب، كيف رتبوا الأسطر، وأين بالضبط وقعت الأخطاء التي أفشلت المشروع تجارياً.,wide->push_in->pan_detail (3-stage)
033,863.12,887.16,24.04,كما فتحت هذه النسخة نافذة نادرة على العلاقة المعقدة بين أوروبا الطباعة الناشئة والعالم الإسلامي في عصر النهضة: علاقة لم تكن قائمة فقط على الحروب والصراع الديني، بل تضمنت أيضاً محاولات تجارية وثقافية، ولو فاشلة، للتواصل عبر الكتاب المطبوع.,wide->push_in->pan_detail (3-stage)
034,887.16,909.35,22.19,واليوم، تُحفظ هذه النسخة الوحيدة الباقية من قرآن باغانيني في مكتبة الرهبان الفرنسيسكان بجزيرة سان ميكيله في البندقية، حيث يمكن للباحثين المتخصصين دراستها بوصفها الشاهد المادي الوحيد على واحدة من أغرب المغامرات في تاريخ الطباعة العالمية.,wide->push_in->pan_detail (3-stage)
035,909.35,936.48,27.13,لكن، وهذا مهم جداً أن نقوله بوضوح: العثور على نسخة واحدة لم يحل اللغز الأصلي. هذه النسخة تثبت أن الطبعة طُبعت فعلاً، وتخبرنا الكثير عن كيفية صنعها. لكنها لا تخبرنا شيئاً مؤكداً عن مصير باقي النسخ التي طُبعت معها في تلك الورشة قبل قرون.,wide->push_in->pan_detail (3-stage)
036,936.48,965.75,29.27,هل أُتلفت عمداً؟ هل تبعثرت في مكتبات لا تزال غير مكتشفة حتى الآن؟ هل اختفت ببساطة مع مرور الزمن كما تختفي آلاف الكتب النادرة كل قرن؟ العلماء اليوم أكثر حذراً من أي وقت مضى في الجزم بإجابة واحدة. وهذا الحذر، في حد ذاته، هو أصدق تعبير عن حالة المعرفة التاريخية الحقيقية.,wide->push_in->pan_detail (3-stage)
037,965.75,993.88,28.13,فقصة قرآن باغانيني ليست قصة عن إجابة نهائية وجدها الباحثون. إنها قصة عن السؤال نفسه، وعن كيف يمكن لسؤال واحد أن يبقى حياً عبر أربعة قرون كاملة، منتقلاً من جيل من الباحثين إلى الجيل الذي يليه، إلى أن عثر عليه أحدهم أخيراً، بالصدفة العلمية المنضبطة، على رف مكتبة نائية.,wide->push_in->pan_detail (3-stage)
038,993.88,1019.71,25.83,هذه القصة تذكّرنا بشيء أعمق من تفاصيلها التقنية: أن التاريخ لا يُحفظ فقط في الكتب التي بقيت، بل أيضاً في فجوات الكتب التي غابت. وأن كل فجوة من هذا النوع تحمل احتمال أن تُملأ يوماً ما، في مكتبة منسية، أو صندوق لم يُفتح منذ قرون.,wide->push_in->pan_detail (3-stage)
039,1019.71,1051.85,32.14,اليوم، وبعد أكثر من خمسة قرون على تلك المغامرة الطباعية الجريئة في البندقية، لا تزال أسئلة أساسية بلا إجابة كاملة: لماذا فشل هذا المشروع بهذا الشكل الحاد؟ وأين اختفت بقية النسخ؟ يبقى الجواب الكامل بعيد المنال، تماماً كما بقيت النسخة الوحيدة بعيدة المنال لأربعة قرون قبل أن تظهر فجأة على رف مكتبة صغيرة في جزيرة هادئة.,wide->push_in->pan_detail (3-stage)
040,1051.85,1073.09,21.24,عاد الكتاب. لكن التفسير الكامل لمصيره لم يعد بعد. وربما، في هذه اللحظة بالذات، توجد نسخة أخرى، منسية على رف ما، تنتظر فقط أن يمر بها باحث فضولي، كما مرّت أنجيلا نوفو ذات يوم من عام 1987.,wide->push_in->pan_detail (3-stage)
