frame,voiceover_exact,core_visual_claim,required_visible_elements,forbidden_generic_substitutes,image_prompt,historical_source
011,في نص يُفترض أن يُتلى حرفياً بلا أي انحراف، فإن هذا المستوى من الأخطاء... كان، على الأرجح، سبباً كافياً لرفض الكتاب رفضاً تاماً,Consequence: this error level likely meant outright rejection by the intended Muslim/Ottoman readership.,"an Ottoman-dressed merchant or scholar figure in Istanbul examining the Paganini Qur'an as a specific recurring object: a modest quarto-sized Renaissance-bound book, worn brown leather binding, visible sewn spine, dense justified columns of Arabic-looking printed type (not handwriting) with generous margins in the Venetian printing style, visibly setting it aside/pushing it away with a disapproving expression, other correctly handwritten Qur'an manuscripts nearby for contrast",generic anonymous crowd rejecting an unclear object; angry mob imagery,"Interior of an Istanbul bookseller's stall: a well-dressed Ottoman scholar holds open the Paganini Qur'an as a specific recurring object: a modest quarto-sized Renaissance-bound book, worn brown leather binding, visible sewn spine, dense justified columns of Arabic-looking printed type (not handwriting) with generous margins in the Venetian printing style, his brow furrowed, one hand pushing it back across the counter toward the seller in clear rejection; on a nearby shelf sit elegant handwritten Qur'an manuscripts with pristine calligraphy, visually contrasting quality. original 2D historical documentary illustration, painterly digital art, restrained muted color palette (ochre, sepia, deep venetian red, aged parchment, dusk blue), cinematic directional lighting, strong focal hierarchy, readable objects, historically plausible 16th-century Venice / Renaissance printing-house detail, not photorealistic, not 3D, no legible readable Arabic paragraph text (stylized Arabic-looking print/calligraphy only, no captions, no labels), 16:9",Scholarly inference on likely commercial failure due to errors; sources note 'probably intended for Ottoman market'
012,بدأت الطبعة بأكملها تختفي من التاريخ. لم تعد تظهر في أسواق الكتب. لم تعد تُذكر إلا كخبر متناقل,The edition begins vanishing from the historical/commercial record entirely.,"empty market bookstall shelves where copies of the Paganini Qur'an as a specific recurring object: a modest quarto-sized Renaissance-bound book, worn brown leather binding, visible sewn spine, dense justified columns of Arabic-looking printed type (not handwriting) with generous margins in the Venetian printing style would have been, a dated ledger/inventory book open nearby with an entry for the Qur'an edition crossed out or unaccounted, dust settling",generic empty room; unrelated ruins,"A Venetian bookseller's now-empty shelf section, a faint dust outline where stacked copies once stood; on the counter an open dated inventory ledger shows a handwritten entry naming the Arabic Qur'an edition with no sales recorded beside it, cobwebs beginning to form, muted twilight color. original 2D historical documentary illustration, painterly digital art, restrained muted color palette (ochre, sepia, deep venetian red, aged parchment, dusk blue), cinematic directional lighting, strong focal hierarchy, readable objects, historically plausible 16th-century Venice / Renaissance printing-house detail, not photorealistic, not 3D, no legible readable Arabic paragraph text (stylized Arabic-looking print/calligraphy only, no captions, no labels), 16:9",History of Information; general pattern of the edition's disappearance from bibliographic/commercial record
013,كيف يختفي كتاب مطبوع... من الوجود؟ هنا بالضبط تبدأ الروايات المتضاربة. يجب أن نكون دقيقين جداً في التفريق بين ما هو موثق، وما هو استنتاج علمي، وما هو مجرد أسطورة متأخرة,Transition to competing explanations — a visual framing of documented fact vs inference vs legend as distinct paths.,"a symbolic branching-paths composition: one solid stone path labeled visually by a document/scroll, one dimmer path with a question mark shape, one shadowy path with flame/fire silhouette, all diverging from a single book at the center",literal text labels or captions inside the image; generic crossroads with no book at center,"Symbolic wide composition at dusk: the Paganini Qur'an as a specific recurring object: a modest quarto-sized Renaissance-bound book, worn brown leather binding, visible sewn spine, dense justified columns of Arabic-looking printed type (not handwriting) with generous margins in the Venetian printing style rests at the center on a stone pedestal, from which three physical paths diverge into darkness — one paved and lit by a hanging scroll/document lantern, one foggy and uncertain, one flickering with distant firelight — visually representing documented fact, uncertain inference, and legend without any text. original 2D historical documentary illustration, painterly digital art, restrained muted color palette (ochre, sepia, deep venetian red, aged parchment, dusk blue), cinematic directional lighting, strong focal hierarchy, readable objects, historically plausible 16th-century Venice / Renaissance printing-house detail, not photorealistic, not 3D, no legible readable Arabic paragraph text (stylized Arabic-looking print/calligraphy only, no captions, no labels), 16:9","Editorial framing device for fact/inference/legend distinction, per project brief"
014,إحدى أشهر الروايات... تقول إن البابا أمر بإحراق الطبعة بأكملها فور علمه بها... الباحثون... يعاملون هذه الرواية بحذر شديد: فهي ليست مدعومة بوثيقة رسمية واحدة,"The papal-burning legend, visually presented as a dramatic but unverified story — a painting/tale, not a documented event.","a dramatic bonfire scene of books being burned in a piazza rendered with a visible stylistic frame or vignette suggesting it is a told story/legend, not documentary footage; a torn or absent official document nearby",photorealistic depiction presented as straightforward fact; no visual cue that this is legend,"A dramatic Venetian piazza bonfire scene of books burning at night, rendered with a soft painted vignette border and slightly desaturated, storybook-illustration quality to signal this is a told legend rather than documented history; in the foreground, a blank unsigned parchment with no papal seal lies conspicuously empty on the ground. original 2D historical documentary illustration, painterly digital art, restrained muted color palette (ochre, sepia, deep venetian red, aged parchment, dusk blue), cinematic directional lighting, strong focal hierarchy, readable objects, historically plausible 16th-century Venice / Renaissance printing-house detail, not photorealistic, not 3D, no legible readable Arabic paragraph text (stylized Arabic-looking print/calligraphy only, no captions, no labels), 16:9",Explicitly flagged as unconfirmed legend per multiple secondary sources; no primary document found
015,ما هو موثق فعلاً هو أضيق من ذلك بكثير: نعرف أن الطبعة طُبعت... أثرها المادي تلاشى بشكل شبه كامل. أما السبب الدقيق... فهو... غير معروف حتى اليوم,"Reset to the narrow documented facts: printed, then physically vanished, cause unknown.","the Paganini Qur'an as a specific recurring object: a modest quarto-sized Renaissance-bound book, worn brown leather binding, visible sewn spine, dense justified columns of Arabic-looking printed type (not handwriting) with generous margins in the Venetian printing style alone on a bare table in a spotlight of light, surrounded by encroaching darkness on all sides, no other explanatory objects present",the burning imagery repeated; any legend-suggestive prop,"A single spotlight from directly above illuminates the Paganini Qur'an as a specific recurring object: a modest quarto-sized Renaissance-bound book, worn brown leather binding, visible sewn spine, dense justified columns of Arabic-looking printed type (not handwriting) with generous margins in the Venetian printing style resting alone on a bare wooden table in the center of the frame; the surrounding room dissolves into featureless darkness on every side, visually isolating what is known (the object) from what is unknown (its fate). original 2D historical documentary illustration, painterly digital art, restrained muted color palette (ochre, sepia, deep venetian red, aged parchment, dusk blue), cinematic directional lighting, strong focal hierarchy, readable objects, historically plausible 16th-century Venice / Renaissance printing-house detail, not photorealistic, not 3D, no legible readable Arabic paragraph text (stylized Arabic-looking print/calligraphy only, no captions, no labels), 16:9",Editorial synthesis of documented-fact-only claims from sources.txt
016,ربما فشلت الطبعة تجارياً بسبب أخطائها... وربما أُتلفت كميات كبيرة منها لأسباب دينية أو سياسية... وربما ببساطة تبعثرت النسخ القليلة المطبوعة عبر الزمن,"Three competing hypotheses shown as parallel plausible scenes, none privileged as certain.","a triptych-style composition, three smaller vignette scenes side by side: (1) a merchant rejecting the book at a stall, (2) an official confiscating/sealing crates of books, (3) a few scattered single copies fading into different distant libraries",any single scene presented alone as the definitive answer,"Triptych composition divided into three faint vignettes side by side within one frame: left, a merchant pushing away a stack of the Arabic Qur'an at a market stall; center, an official in dark robes sealing wooden crates of books with wax under lantern light; right, a few single books scattered faintly across three distant shadowy library shelves in different cities — each vignette equally weighted, none highlighted as more certain. original 2D historical documentary illustration, painterly digital art, restrained muted color palette (ochre, sepia, deep venetian red, aged parchment, dusk blue), cinematic directional lighting, strong focal hierarchy, readable objects, historically plausible 16th-century Venice / Renaissance printing-house detail, not photorealistic, not 3D, no legible readable Arabic paragraph text (stylized Arabic-looking print/calligraphy only, no captions, no labels), 16:9",Editorial synthesis — commercial failure / suppression / dispersal as unranked hypotheses
017,في القرن الثامن عشر، كتب العالم الإيطالي جيوفاني برناردو دي روسي دراسة كاملة عن هذا القرآن المطبوع... معتمداً على إشارات ومراجع قديمة، لا على نسخة يفحصها بين يديه,"De Rossi writes an 18th-century scholarly dissertation about the edition using only old references, without a physical copy.","an 18th-century scholar at a writing desk surrounded by open reference books and citation slips, writing a manuscript titled with Latin-style text about the Arabic Qur'an, with a conspicuously empty book-shaped space on the shelf beside him",the scholar holding the actual book; generic library scene with no writing evident,"An 18th-century scholar's study: an academic in period dress sits at a writing desk covered with open reference volumes and citation slips, quill in hand, composing a dissertation manuscript; on the shelf directly behind him is a labeled empty gap exactly the width of a missing book, conspicuously bare between other volumes. original 2D historical documentary illustration, painterly digital art, restrained muted color palette (ochre, sepia, deep venetian red, aged parchment, dusk blue), cinematic directional lighting, strong focal hierarchy, readable objects, historically plausible 16th-century Venice / Renaissance printing-house detail, not photorealistic, not 3D, no legible readable Arabic paragraph text (stylized Arabic-looking print/calligraphy only, no captions, no labels), 16:9",Antiquariat INLIBRIS listing of De Rossi's dissertation 'De corano arabico Venetiis Paganini typis impresso'
018,تخيّل الوضع: مؤرخ يكتب بحثاً أكاديمياً كاملاً عن كتاب... بينما لا يستطيع هو نفسه أن يجد نسخة واحدة يمسكها بيده. كتاب موثق في السجلات، غائب تماماً عن الرفوف,"The paradox made explicit: documented in catalogues, physically absent from every shelf.","an open library catalogue/ledger with a clear handwritten entry for the Arabic Qur'an edition, positioned next to a library shelf where that exact space is empty and labeled",generic confused scholar; catalogue and shelf not shown together,"Split composition: on the left, an open bibliographic catalogue ledger lies on a reading stand with a clearly visible handwritten entry naming the Paganini Arabic Qur'an edition; on the right, a tall library shelf where that precise labeled slot sits conspicuously empty between two other bound volumes, dust outline visible. original 2D historical documentary illustration, painterly digital art, restrained muted color palette (ochre, sepia, deep venetian red, aged parchment, dusk blue), cinematic directional lighting, strong focal hierarchy, readable objects, historically plausible 16th-century Venice / Renaissance printing-house detail, not photorealistic, not 3D, no legible readable Arabic paragraph text (stylized Arabic-looking print/calligraphy only, no captions, no labels), 16:9","Editorial visualization of the documented-but-absent paradox, per project brief's explicit example"
019,كل من يبحث في تاريخ الطباعة الأوروبية للعربية يعرف اسم قرآن باغانيني. لكن لا أحد يعرف مكانه... غائب تماماً عن الواقع المادي,"The book becomes an academic legend — cited in footnotes across generations, never seen.","a stack of different-era scholarly books and journal volumes open to pages with footnotes/citations referencing the Paganini Qur'an, arranged to suggest multiple generations of scholarship, no physical Qur'an object present anywhere in frame",the physical Qur'an appearing in this frame (it must NOT appear — this is about its absence),"Overhead flat-lay shot of a scholar's desk covered with several open books and journals from visibly different eras (varying binding styles, aged paper tones), each open to a page with a handwritten or printed footnote citing the Paganini Arabic Qur'an edition, pencils and magnifying glass scattered among them — the physical Qur'an itself is nowhere in the frame, only citations about it. original 2D historical documentary illustration, painterly digital art, restrained muted color palette (ochre, sepia, deep venetian red, aged parchment, dusk blue), cinematic directional lighting, strong focal hierarchy, readable objects, historically plausible 16th-century Venice / Renaissance printing-house detail, not photorealistic, not 3D, no legible readable Arabic paragraph text (stylized Arabic-looking print/calligraphy only, no captions, no labels), 16:9",Editorial synthesis of the edition's status as a repeatedly-cited but unseen book across scholarship
020,مرّ القرن التاسع عشر. ومرّ القرن العشرون... لم يبقَ، على ما يبدو، ولو نسخة واحدة,Time-passage across two centuries with no discovery — the absence stretching further.,"a triple time-lapse composition of the same empty library shelf slot across three visibly different eras of interior decor/lighting (19th century oil lamp, early 20th century electric bulb, mid-20th century fluorescent), same empty gap persisting in all three",unrelated generic historical montage with no consistent shelf anchor,"A triple-panel composition showing the exact same library shelf gap across three time periods within one wide frame, divided by soft light transitions: left lit by a 19th-century oil lamp with a scholar in period coat glancing at the empty slot, center lit by an early-electric bulb with a different scholar in 1900s attire doing the same, right lit by cool mid-20th-century fluorescent light with a modern-dressed librarian — the same empty gap persists unchanged in all three. original 2D historical documentary illustration, painterly digital art, restrained muted color palette (ochre, sepia, deep venetian red, aged parchment, dusk blue), cinematic directional lighting, strong focal hierarchy, readable objects, historically plausible 16th-century Venice / Renaissance printing-house detail, not photorealistic, not 3D, no legible readable Arabic paragraph text (stylized Arabic-looking print/calligraphy only, no captions, no labels), 16:9",Editorial visualization of multi-generational continued absence
021,في كل مرة يُعاد فيها سرد هذه القصة، كانت تُطرح الأسئلة نفسها من دون إجابة: هل أُتلفت النسخ عمداً؟ هل ضاعت مع الزمن؟ هل تحتفظ بها مكتبة ما، غير مصنّفة,"The unanswered questions themselves, visualized as an uncatalogued mystery still latent somewhere.","a vast dim archive/storage room with countless unlabeled crates and unsorted bundles of books stacked to the ceiling, one small lantern illuminating a tiny searched area, vastness of unsearched material implied",a single obviously labeled crate revealing the answer; anything that resolves the mystery here,"Vast dim archival storage room stretching into shadow, floor to ceiling with unlabeled wooden crates and loosely tied bundles of old books and manuscripts; a single archivist holds a small lantern illuminating only a tiny circle at the room's edge, the overwhelming unexplored darkness beyond suggesting how much remains unchecked. original 2D historical documentary illustration, painterly digital art, restrained muted color palette (ochre, sepia, deep venetian red, aged parchment, dusk blue), cinematic directional lighting, strong focal hierarchy, readable objects, historically plausible 16th-century Venice / Renaissance printing-house detail, not photorealistic, not 3D, no legible readable Arabic paragraph text (stylized Arabic-looking print/calligraphy only, no captions, no labels), 16:9",Editorial visualization of the genuinely open questions
022,الإجابة، حين جاءت أخيراً، لم تأتِ من أرشيف عثماني، ولا من مكتبة فاتيكانية، بل من داخل مدينة البندقية نفسها,"The pivot: the answer comes not from Istanbul or the Vatican, but from within Venice itself.","a wide map-like composition showing Istanbul and Vatican/Rome as distant faded/crossed-out points, with a bright highlighted path converging back onto Venice and its lagoon islands",showing the actual discovery moment (saved for later frames); generic map with no highlighted convergence,"A large aged nautical/historical map of the Mediterranean spread on a table: Istanbul and Rome/Vatican are marked with faded, dimmed pin markers, while Venice and its lagoon are marked with a single bright glowing pin, a hand-drawn line trailing back toward one small island in the lagoon, spotlighted. original 2D historical documentary illustration, painterly digital art, restrained muted color palette (ochre, sepia, deep venetian red, aged parchment, dusk blue), cinematic directional lighting, strong focal hierarchy, readable objects, historically plausible 16th-century Venice / Renaissance printing-house detail, not photorealistic, not 3D, no legible readable Arabic paragraph text (stylized Arabic-looking print/calligraphy only, no captions, no labels), 16:9",Editorial transition device based on documented discovery location (Venice lagoon)
023,في جزيرة صغيرة داخل شواطئ البندقية، تُعرف باسم جزيرة سان ميكيله، توجد مكتبة تابعة لرهبان فرنسيسكان,"Establish the specific location: San Michele in Isola, a small Venetian lagoon island with a Franciscan monastic library.","an exterior establishing shot of a walled monastic island in the Venice lagoon with a distinctive church facade and cloister, small boats near the shore, cypress trees",generic mainland church; unrelated Venice canal street scene,"Wide establishing shot of a small walled monastic island in the Venice lagoon at soft morning light: a Renaissance church facade with a bell tower, a cloistered courtyard visible through an archway, cypress trees along the shoreline, a small rowed boat approaching the dock, calm lagoon water reflecting the sky. original 2D historical documentary illustration, painterly digital art, restrained muted color palette (ochre, sepia, deep venetian red, aged parchment, dusk blue), cinematic directional lighting, strong focal hierarchy, readable objects, historically plausible 16th-century Venice / Renaissance printing-house detail, not photorealistic, not 3D, no legible readable Arabic paragraph text (stylized Arabic-looking print/calligraphy only, no captions, no labels), 16:9","Wikipedia San Michele in Isola; Madain Project, Paganini Quran"
024,في عام 1987، كانت الباحثة الإيطالية أنجيلا نوفو تُجري دراسة متخصصة في تاريخ صناعة باغانيني... حين وقعت عيناها... على مجلد عربي قديم,"Introduce Angela Nuovo at work in 1987, mid-research, in the moment just before the discovery.","a late-20th-century female scholar (1980s clothing/hairstyle) inside a monastic library archive, surrounded by open reference books about Paganini's printing career, reaching toward a shelf where the Paganini Qur'an as a specific recurring object: a modest quarto-sized Renaissance-bound book, worn brown leather binding, visible sewn spine, dense justified columns of Arabic-looking printed type (not handwriting) with generous margins in the Venetian printing style sits among other old volumes",anachronistic modern clothing/technology; generic 'woman holding random old book' with no research context established,"Inside a wood-paneled Franciscan monastic library archive, a focused woman scholar in late-1980s attire (blazer, notebook, period eyeglasses) sits at a table covered with open reference volumes on Paganini's printing history; she turns toward a nearby shelf, her hand reaching for the Paganini Qur'an as a specific recurring object: a modest quarto-sized Renaissance-bound book, worn brown leather binding, visible sewn spine, dense justified columns of Arabic-looking printed type (not handwriting) with generous margins in the Venetian printing style nestled among other old bound volumes, afternoon light through a tall arched window. original 2D historical documentary illustration, painterly digital art, restrained muted color palette (ochre, sepia, deep venetian red, aged parchment, dusk blue), cinematic directional lighting, strong focal hierarchy, readable objects, historically plausible 16th-century Venice / Renaissance printing-house detail, not photorealistic, not 3D, no legible readable Arabic paragraph text (stylized Arabic-looking print/calligraphy only, no captions, no labels), 16:9","Madain Project, Paganini Quran; History of Information — Angela Nuovo's 1987 discovery"
