frame,start,end,duration,voiceover_exact,motion_type,focus_target
011,84.997,92.511,7.514,يتقبّل الطفل الزجاجة بسهولة. وفي الأيام التالية، تُرضع مريم طفلها طبيعياً بمعدَّلٍ أقلّ.,pan-left-to-right,a simple three-panel row showing the same room at three moments: panel 1 baby wi
012,92.511,104.648,12.138,وما لا يعرفه جسدها بعد: أنّ الرضاعة الأقلّ تعني تحفيزاً أقلّ، والتحفيز هو ما يُخبر الجسد بأن يستمرّ في إنتاج الحليب.,slow-zoom-in-hold,a simple educational diagram: the maternal torso silhouette on one side connecte
013,104.648,113.318,8.670,تمرّ أسابيع قليلة. العُلبة المجانية تفرغ. وإدرار حليب مريم نفسه قد تراجع دون أن تلاحظ.,slow-zoom-in-hold,"recurring character Maryam: young adult mother, round simple face, medium warm o"
014,113.318,123.144,9.826,الآن، الحليب الصناعي لم يعد هديّة. أصبح مشترًى أسبوعياً. المجّانيّ تحوّل إلى عادة، والعادة تحوّلت إلى فاتورة.,slow-zoom-out,"recurring character Maryam: young adult mother, round simple face, medium warm o"
015,123.144,138.584,15.440,مريم ليست شخصيةً تاريخيةً موثَّقة بعينها؛ إنّها شخصية مركَّبة، بُنيت من ممارسات تسويقية وتجارب أمّهاتٍ وثّقتها تقارير ذلك الزمن. وقصّتها لم تكن استثناءً.,slow-zoom-out,a simple grid of many small identical window/room outlines (like a large apartme
016,138.584,155.366,16.782,خلال الستينيات والسبعينيات، توسّعت شركات الحليب الصناعي بقوّة في آسيا وأفريقيا وأمريكا اللاتينية، حيث كانت معدَّلات الولادة مرتفعة وكانت الرضاعة الطبيعية عادةً متوارثة منذ أجيال.,slow-zoom-out,"simple flat pastel world map/globe with three regions (roughly Asia, Africa, Lat"
017,155.366,166.778,11.412,تحوّلت المستشفيات وأجنحة الولادة إلى قناة تسويقية: عُلَبٌ مجانية للأمّهات الجدد، هدايا، وعلاقات وثيقة مع الطاقم الصحّي.,slow-zoom-in,a simple hospital ward interior with several generic beds (not Maryam specifical
018,166.778,179.533,12.755,"البائعات بالزيّ الشبيه بزيّ المُمرِّضات، واللواتي عُرِفن في الصحافة أحياناً باسم ""مُمرِّضات الحليب""، كنّ ممارسةً موثَّقة، لا مجرَّد إشاعة.",pan-left-to-right,"a row of three to four identical  adult woman, crisp white clinical-style unifor"
019,179.533,206.385,26.852,"اعتمد الإعلان على صور الحداثة والعلم، وأوحى أحياناً بأنّ الحليب الصناعي يُعادل حليب الأمّ أو يفوقه. وقد ظهرت أولى إشارات التدقيق العلني في هذه الممارسات قبل عام من ""قاتل الأطفال""، أي في عام 1973، على صفحات مجلة ""نيو إنترناشيوناليست"" البريطانية.",slow-zoom-in,a simple flat illustrated poster/frame-within-frame showing a generic formula ti
020,206.385,215.112,8.727,نجحت هذه الاستراتيجية لأنّها استهدفت الأمّهات في أضعف لحظاتهنّ، مُغلَّفةً بسلطة المستشفى ومصداقيته.,slow-zoom-in,a generic simple tired mother-with-infant silhouette centered inside a large sof
021,215.112,222.567,7.455,وهذه هي البيولوجيا التي تُفسِّر خطورة الأمر: حليب الأمّ يعمل بمنطق العرض والطلب.,slow-zoom-in,a simple flat balance-scale icon with a baby-suckling icon on one side and a mil
022,222.567,229.448,6.881,رضاعة الطفل تُحفِّز هرمونات تُخبر الجسد: أنتِج المزيد، من أجل الرضعة القادمة.,slow-zoom-in,a simple close diagram: a baby-suckling icon connected via a curved arrow to a s
023,229.448,237.476,8.028,عندما تحلّ الزجاجة محلّ عدّة رضعاتٍ يومياً، تضعف هذه الإشارة، وقد يتراجع الإدرار تدريجياً.,slow-zoom-in-hold,the same loop diagram as frame 22 but now a bottle icon is shown replacing the b
024,237.476,251.239,13.763,هذا لا يعني أنّ زجاجةً واحدة تُنهي الرضاعة الطبيعية. بل يعني أنّ التكميل المتكرِّر قد يجعل العودة إلى الرضاعة الكاملة أصعب على بعض الأمّهات.,pan-left-to-right,on the left a single small bottle icon with a simple checkmark-style neutral ico
025,251.239,260.988,9.749,وهنا يكمن الفخّ: العيّنة المجانية قد تنفد خلال أيام، بينما تراجُع إدرار الأمّ قد يستمرّ لفترةٍ أطول.,slow-zoom-in-hold,"two horizontal simple bar/timeline icons stacked, top bar short and colored to r"
026,260.988,269.016,8.028,حليبٌ مجّانيٌّ يدخل، وحليب الأمّ يتراجع؛ دورةٌ تُحوِّل بهدوءٍ منتَجاً مجانياً إلى حاجةٍ متكرِّرة.,slow-zoom-in-hold,a simple circular cycle diagram with three or four icons arranged in a loop conn
027,269.016,277.821,8.805,لأنّ الحليب الصناعي لا يبقى مجانياً. حين تنفد العيّنة، يجب على أحدهم شراء العُلبة التالية.,slow-zoom-in,"a generic parent silhouette (not Maryam, to signal this is now about families br"
028,277.821,287.213,9.392,في الأسر المَيسورة، هذا عبءٌ يمكن تحمُّله. أمّا في الأسر الفقيرة، فهو يُزاحم مباشرةً ميزانية الغذاء.,slow-zoom-in,two simple house-shaped outlines side by side; left house has a simple pie-chart
029,287.213,299.540,12.327,تصف تقارير موثَّقة من تلك الحقبة أُسَراً كانت تُطيل عمر العُلبة الواحدة أكثر ممّا يجب، بتقليل كمّية المسحوق في كلّ رضعة.,slow-zoom-in,a generic parent figure using a small scoop to add powder into a bottle already 
030,299.540,311.867,12.327,الحليب المُخفَّف يعني تغذيةً مخفَّفة. قد يبدو الطفل شبعاناً، هادئاً في الظاهر، بينما هو في الواقع يعاني نقص التغذية بصمت لأسابيع.,slow-zoom-in-hold,"a small simple infant figure with a neutral/content expression lying in a crib, "
031,311.867,320.672,8.805,لم تفعل كلّ الأسر ذلك، لكن حيثما كان المال شحيحاً، كان هذا خطراً حقيقياً ومسجَّلاً.,pan-left-to-right,"a row of four to five simple house icons; most show a normal bottle icon inside,"
032,320.672,330.064,9.392,هناك فخٌّ ثانٍ، منفصلٌ عن المال: التحضير. حليب الأمّ لا يحتاج ماءً، ولا زجاجة، ولا تعقيماً.,slow-zoom-in-hold,"the maternal torso silhouette icon in the center, with three small simple icons "
033,330.064,335.934,5.870,الحليب الصناعي يحتاج الثلاثة معاً، بشكلٍ صحيح، في كلّ مرّة.,slow-zoom-in-hold,a plain generic infant-formula tin: pastel cream or light-blue cylindrical conta
034,335.934,343.565,7.631,تخيّلي العُلبة نفسها في بيتين. في الأوّل: صنبورٌ نظيف، زجاجةٌ نظيفة، ومكيالٌ دقيق.,slow-zoom-in,"a simple flat kitchen interior (House A) with a clean modern tap/faucet icon, a "
035,343.565,350.609,7.044,وفي الثاني: مصدر مياهٍ غير آمن، ولا وسيلة سهلة لتعقيم أيّ شيء.,slow-zoom-in,a simple flat home interior (House B) with a cloudy/murky water container or a s
036,350.609,360.588,9.979,المياه غير الآمنة تُحوِّل تحضير الحليب إلى طريقٍ للبكتيريا، وهو ما يعني غالباً، عند الرضّع، الإصابة بالإسهال.,slow-zoom-in,a close-up of a bottle being filled from the murky water source with a few small
037,360.588,381.720,21.132,المنتَج في البيتين كان واحداً بالضبط. البيئة المحيطة به هي التي حدَّدت مستوى الخطر. وقد قدّر باحثون في الصحة العامة لاحقاً أنّ هذه الفجوة في المياه والصرف الصحّي، لا المسحوق نفسه، كانت أقوى مؤشّر على الضرر.,pan-left-to-right,"split-screen composition, House A (frame 34 content) on the left in bright clean"
038,381.720,392.291,10.571,مع بداية السبعينيات، بدأ صحفيّون ونشطاء صحّيّون يطرحون أسئلةً صعبة عن تسويق الحليب الصناعي في الدول الفقيرة.,slow-zoom-in,a generic simple journalist/investigator figure standing before a small corkboar
039,392.291,402.863,10.571,"في عام 1974، نشرت منظّمة ""حرب على الفقر"" البريطانية تحقيقاً أعدّه الصحفي مايك مولر، بعنوان ""قاتل الأطفال"".",slow-zoom-out,a generic simple investigator figure holding up a small booklet/pamphlet-shaped 
040,402.863,412.813,9.950,كان هذا عنوان تقريرٍ توعويّ نشطاويّ، لا حُكماً طبّياً، لكن أدلّته حول الممارسات التسويقية كانت دامغة.,slow-zoom-in,two small icons side by side for contrast: a megaphone icon (campaigning/activis
041,412.813,419.653,6.840,"صدرت نسخة سويسرية من الكُتيِّب بعنوانٍ أكثر مباشرة: ""نِستله تقتل الأطفال"".",slow-zoom-in,a small simple pamphlet-shaped object similar to frame 39 but with a starker pla
042,419.653,430.846,11.193,جرّ هذا التقرير، وردّة الفعل عليه، أكبر لاعبٍ في هذا القطاع إلى مواجهةٍ علنية لم يعرفها من قبل.,slow-zoom-in,"one large simple generic corporate office-building silhouette in the center, sur"
043,430.846,440.796,9.950,رفعت الشركة دعوى تشهير بسبب هذا العنوان، وكسبتها في حدود المسألة القانونية الضيّقة الخاصّة بالألفاظ نفسها.,slow-zoom-in,"a simple flat courtroom setting with a small judge's bench and gavel icon, two s"
044,440.796,453.233,12.437,لكنّ القاضي أضاف تحذيراً: إن لم ترغب الشركة في أن تُتَّهم بالتسبُّب في الوفاة والمرض، فعليها أن تُغيِّر طريقة عملها.,slow-zoom-in,a simple judge figure behind the bench making a raised-finger cautionary gesture
045,453.233,465.048,11.815,نفت الشركة مسؤوليّتها عن نتائج مرتبطة بالمياه والصرف الصحّي، وهي أمور خارج سيطرتها، مؤكِّدةً أنّ إصلاحاتٍ كانت جاريةً بالفعل.,slow-zoom-in,"a generic spokesperson figure at a simple podium with a microphone icon, one han"
046,465.048,474.135,9.087,"في عام 1977، أطلقت حملة أمريكية صغيرة تُدعى ""إنفاكت"" مقاطعةً استهلاكية لمنتجات الشركة.",slow-zoom-in,a small group of three to four generic activist figures standing outside a simpl
047,474.135,483.920,9.786,انتشرت من مدينة واحدة إلى حملةٍ وطنية، ثمّ عبرت إلى كندا وبريطانيا وأستراليا وغيرها.,slow-zoom-out,a simple flat world map/globe with one small highlighted starting point and seve
048,483.920,499.996,16.076,أصبحت واحدةً من أطول المقاطعات الاستهلاكية استمراراً في التاريخ ضدّ شركةٍ عابرة للقارّات، وامتدّت في نهاية المطاف إلى عشرات الدول واستمرّت حتى الثمانينيات.,slow-zoom-in,"a large dense crowd of generic simple activist figures (more than in frame 46), "
049,499.996,513.277,13.280,في عام 1978، عقد مجلس الشيوخ الأمريكي جلسات استماع، وضغط على ممثِّل الشركة نفسه بشأن تسويقها في العالم النامي.,slow-zoom-in,a formal simple government hearing room: a raised long desk with three to four g
050,513.277,527.256,13.979,وكان السؤال المحوري: هل يجوز تسويق منتَجٍ يحتاج ماءً نظيفاً ودخلاً ثابتاً بقوّة، في أماكن لا يتوفَّر فيها أيّ منهما؟,slow-zoom-in,a central generic formula tin with a large simple question-mark shape floating a
051,527.256,536.134,8.878,في عام 1979، عقدت منظّمة الصحّة العالمية واليونيسف اجتماعاً دولياً حول تغذية الرضّع وصغار الأطفال.,slow-zoom-out,a round conference table viewed from a slightly elevated angle with six to eight
052,536.134,554.481,18.347,أمضت الحكومات والشركات ومنظّمات المناصرة عامَين في التفاوض حول القواعد التي يجب أن تُطبَّق عالمياً؛ وكانت حالةً نادرة جلست فيها الصناعة نفسها إلى طاولة النقاش وهي تُناقَش القيود المفروضة على ممارساتها.,slow-zoom-in,"same round table setting as frame 51, now with three visually distinguishable sm"
053,554.481,567.502,13.021,في الحادي والعشرين من مايو 1981، اعتمدت جمعية الصحّة العالمية المدوَّنة الدولية لتسويق بدائل حليب الأمّ، بأغلبية 118 صوتاً مقابل صوتٍ واحد.,slow-zoom-out,a wide formal assembly-hall composition with many rows of small generic delegate
054,567.502,572.237,4.735,الولايات المتحدة كانت الدولة الوحيدة التي صوّتت ضدّها.,slow-zoom-in,"a medium close-up on the single dissenting generic delegate figure, gentle spotl"
055,572.237,590.584,18.347,منعت المدوَّنة الإعلان عن هذه المنتجات للجمهور، والعيّنات المجانية للأمّهات، والترويج داخل المرافق الصحّية، والهدايا للعاملين الصحّيّين. كما ألزمت الملصقات بذكر تفوّق الرضاعة الطبيعية والتحذير بوضوح من مخاطر التحضير غير السليم.,slow-zoom-in,"a clean 2x2 grid of four small icons, each with a gentle diagonal 'not allowed' "
056,590.584,613.075,22.490,لكنّ المدوَّنة لم تمنع الحليب الصناعي نفسه. فبعض الرضّع يحتاجونه فعلاً، والمدوَّنة تقول ذلك صراحة. وفي العقود التالية، توالت قرارات جمعية الصحّة العالمية لتوسيع قواعدها، وما زالت منظّمة الصحّة العالمية واليونيسف تُوثّقان خروقات لها حول العالم حتّى اليوم.,slow-zoom-in,the same plain generic tin from earlier frames shown completely free of any slas
057,613.075,624.912,11.837,ما استهدفته المدوَّنة لم يكن المنتَج، بل تلك اللحظة التي تحوّل فيها قرارٌ صحّيّ بين أمٍّ وطفلها إلى فرصة بيع.,slow-zoom-in,"a generic simple mother-and-infant silhouette on one side, a small salesperson-w"
058,624.912,634.505,9.593,تخيّلي ذلك الخيار مجدَّداً: ثديٌ، وعُلبة. لكنّكِ الآن تعرفين ما يقف خلف كلّ واحدٍ منهما.,pan-left-to-right,the same two-pedestal composition as frame 1 (maternal silhouette pedestal on th
059,634.505,644.736,10.232,لا تهزمين بالضرورة شيئاً لا يحتاج أحدٌ إلى شرائه داخل مختبر. بل تُغيِّرين القرار المحيط به.,slow-zoom-in,"a small faded flask/laboratory icon pushed to one corner of the frame, a large c"
060,644.736,655.608,10.872,لأنّ أصعب منافسٍ تواجهه أيّ شركة على الإطلاق هو المنتَج الذي لم يحتج يوماً إلى شركة أصلاً.,slow-zoom-in,a single simple maternal-with-infant silhouette centered alone in an otherwise e
