frame,start,end,duration,voiceover_exact,motion_type,focus_target
051,427.128,435.414,8.286,"In 1979, the World Health Organization and UNICEF convened an international meeting on infant and young child feeding.",slow-zoom-out,a round conference table viewed from a slightly elevated angle with six to eight
052,435.414,450.146,14.731,"Governments, companies, and advocacy groups spent two years negotiating what rules should apply worldwide — a rare case of an industry sitting at the table while its own practices were being restricted.",slow-zoom-in,"same round table setting as frame 51, now with three visually distinguishable sm"
053,450.146,460.273,10.128,"On May 21, 1981, the World Health Assembly adopted the International Code of Marketing of Breast-milk Substitutes — 118 votes to 1.",slow-zoom-out,a wide formal assembly-hall composition with many rows of small generic delegate
054,460.273,464.417,4.143,The United States cast the only vote against it.,slow-zoom-in,"a medium close-up on the single dissenting generic delegate figure, gentle spotl"
055,464.417,482.831,18.414,"The Code banned advertising these products to the public, free samples to mothers, promotion inside health facilities, and gifts to health workers. It also required labels to state breastfeeding's superiority and to warn clearly about the risks of improper preparation.",slow-zoom-in,"a clean 2x2 grid of four small icons, each with a gentle diagonal 'not allowed' "
056,482.831,504.467,21.637,"But the Code did not ban infant formula. Some babies genuinely need it, and the Code says so directly. In the decades since, further World Health Assembly resolutions have kept extending its rules — and WHO and UNICEF still report violations being documented around the world today.",slow-zoom-in,the same plain generic tin from earlier frames shown completely free of any slas
057,504.467,515.976,11.509,What it targeted wasn't the product. It was the moment a health decision between a mother and her child got treated as a sales opportunity.,slow-zoom-in,"a generic simple mother-and-infant silhouette on one side, a small salesperson-w"
058,515.976,524.208,8.232,"So picture that same choice again: a breast, and a tin. Only now you know what stands behind each one.",pan-left-to-right,the same two-pedestal composition as frame 1 (maternal silhouette pedestal on th
059,524.208,532.028,7.820,You don't necessarily beat something nobody has to buy in a laboratory. You change the decision happening around it.,slow-zoom-in,"a small faded flask/laboratory icon pushed to one corner of the frame, a large c"
060,532.028,540.672,8.644,Because the hardest competitor any company will ever face is the product that never needed a company in the first place.,slow-zoom-in,a single simple maternal-with-infant silhouette centered alone in an otherwise e
