frame,arabic_voiceover_exact,english_voiceover_exact,historical_status,core_visual_claim,required_visible_elements,forbidden_generic_substitutes,recurring_character_id,image_prompt,source_reference
011,يتقبّل الطفل الزجاجة بسهولة. وفي الأيام التالية، تُرضع مريم طفلها طبيعياً بمعدَّلٍ أقلّ.,"The baby takes the bottle easily. Over the next days, Maryam breastfeeds less often.",REASONABLE INFERENCE,Visual causal chain: bottle-feeding begins and breastfeeding frequency visibly drops across a short time sequence,"a simple three-panel row showing the same room at three moments: panel 1 baby with bottle, panel 2 Maryam breastfeeding once, panel 3 Maryam sitting with baby but bottle nearby instead — a visible decreasing pattern across panels, small simple calendar/day icons above each panel",no single static image only — must show the sequence/decline across panels,maryam,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. Three small simple panels in one row on plain background, each with a tiny day-marker icon above it (no text/numbers, just simple dots increasing 1,2,3). Panel 1: recurring character Maryam: young adult mother, round simple face, medium warm olive-brown skin tone, dark brown hair pulled back in a simple low bun, muted teal long-sleeve top, dark simple long skirt, small simple dot eyes, soft simple mouth line, consistent proportions in every appearance feeding Maryam's newborn infant: very small baby, plain cream/off-white swaddle blanket, minimal facial detail, consistently tiny size across frames a bottle. Panel 2: Maryam breastfeeding the baby directly. Panel 3: Maryam sitting with the baby, a bottle resting nearby taking a more prominent position than a direct breastfeeding pose, showing the shift in pattern.",REASONABLE INFERENCE grounded in documented supplementation patterns
012,وما لا يعرفه جسدها بعد: أنّ الرضاعة الأقلّ تعني تحفيزاً أقلّ، والتحفيز هو ما يُخبر الجسد بأن يستمرّ في إنتاج الحليب.,Here's what her body doesn't know yet: less suckling means less stimulation — and stimulation is what tells a body to keep making milk.,PEER-REVIEWED EVIDENCE,Simple physiological diagram: suckling triggers a signal that sustains milk production,"a simple educational diagram: the maternal torso silhouette on one side connected by a simple arrow/signal-wave icon to a baby suckling icon, and a small circular gauge/level icon indicating production level responding to the signal",no anatomically graphic or medical-diagram realism; keep flat cartoon iconography,none,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. Simple flat educational diagram on plain background: a rounded maternal silhouette icon on the left connected by a curved arrow/signal-wave line to a small baby-suckling icon on the right; a small circular gauge icon near the maternal silhouette shows a fuller level, illustrating that the suckling signal sustains production.","PEER-REVIEWED EVIDENCE (lactation supply-and-demand physiology, prolactin/suckling feedback)"
013,تمرّ أسابيع قليلة. العُلبة المجانية تفرغ. وإدرار حليب مريم نفسه قد تراجع دون أن تلاحظ.,A few weeks pass. The free tin is empty. Maryam's own supply has quietly dropped.,COMPOSITE CHARACTER,The free tin is now empty while Maryam's own supply symbol has visibly diminished,"recurring character Maryam: young adult mother, round simple face, medium warm olive-brown skin tone, dark brown hair pulled back in a simple low bun, muted teal long-sleeve top, dark simple long skirt, small simple dot eyes, soft simple mouth line, consistent proportions in every appearance holding an emptied, visibly lighter-looking a plain generic infant-formula tin: pastel cream or light-blue cylindrical container with a rounded lid, completely blank surface, no logo, no wordmark, no readable text of any kind, fictional generic packaging tipped slightly to show it is empty, small circular gauge icon near her chest area now shown at a lower level than in frame 12","no shop or money element yet — this frame is purely about depletion, not purchase",maryam,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. recurring character Maryam: young adult mother, round simple face, medium warm olive-brown skin tone, dark brown hair pulled back in a simple low bun, muted teal long-sleeve top, dark simple long skirt, small simple dot eyes, soft simple mouth line, consistent proportions in every appearance in a simple home interior (not hospital), holding a plain generic infant-formula tin: pastel cream or light-blue cylindrical container with a rounded lid, completely blank surface, no logo, no wordmark, no readable text of any kind, fictional generic packaging tilted to visually show it is empty, a small circular gauge icon subtly placed near her showing a reduced level compared to earlier, muted contemplative lighting.",COMPOSITE CHARACTER / REASONABLE INFERENCE
014,الآن، الحليب الصناعي لم يعد هديّة. أصبح مشترًى أسبوعياً. المجّانيّ تحوّل إلى عادة، والعادة تحوّلت إلى فاتورة.,Now formula isn't a gift. It's a weekly purchase. Free had become a habit. Habit had become a bill.,REASONABLE INFERENCE,The FREE → HABIT → PURCHASE chain completes visually: Maryam now buys formula at a shop,"recurring character Maryam: young adult mother, round simple face, medium warm olive-brown skin tone, dark brown hair pulled back in a simple low bun, muted teal long-sleeve top, dark simple long skirt, small simple dot eyes, soft simple mouth line, consistent proportions in every appearance standing at a small simple generic shop counter, exchanging a coin/banknote icon with a generic shopkeeper figure for a new a plain generic infant-formula tin: pastel cream or light-blue cylindrical container with a rounded lid, completely blank surface, no logo, no wordmark, no readable text of any kind, fictional generic packaging, camera pulled back slightly wider than previous frames to signal a scene change",no free-gift sparkle icon in this frame — must clearly show payment,maryam,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. recurring character Maryam: young adult mother, round simple face, medium warm olive-brown skin tone, dark brown hair pulled back in a simple low bun, muted teal long-sleeve top, dark simple long skirt, small simple dot eyes, soft simple mouth line, consistent proportions in every appearance at a small simple flat-style shop counter, handing a simple coin/banknote icon to a generic shopkeeper silhouette in exchange for a plain generic infant-formula tin: pastel cream or light-blue cylindrical container with a rounded lid, completely blank surface, no logo, no wordmark, no readable text of any kind, fictional generic packaging, plain shop shelf with a few identical blank tins in the background, composition slightly wider to mark the transition out of the hospital story.",REASONABLE INFERENCE (documented shift from free samples to recurring purchase)
015,مريم ليست شخصيةً تاريخيةً موثَّقة بعينها؛ إنّها شخصية مركَّبة، بُنيت من ممارسات تسويقية وتجارب أمّهاتٍ وثّقتها تقارير ذلك الزمن. وقصّتها لم تكن استثناءً.,"Maryam isn't a documented historical figure — she's a composite, built from marketing practices and mothers' experiences researchers recorded during this period. And her story was far from unique.",REASONABLE INFERENCE,"Camera pulls back from Maryam's single room to reveal many identical small rooms/homes, signaling scale beyond one story","a simple grid of many small identical window/room outlines (like a large apartment building or many separate homes), one of the small windows faintly showing a tiny mother-and-baby silhouette matching Maryam, rest of windows plain/generic",no literal photograph collage; keep flat cartoon grid,maryam,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. Wide flat-style grid composition: many small identical simple window/room rectangles arranged like a large building facade or a map of many homes, one window faintly containing a tiny simple mother-and-infant silhouette, the rest left as plain generic window shapes, symbolizing one story among many.",REASONABLE INFERENCE (transition device)
016,خلال الستينيات والسبعينيات، توسّعت شركات الحليب الصناعي بقوّة في آسيا وأفريقيا وأمريكا اللاتينية، حيث كانت معدَّلات الولادة مرتفعة وكانت الرضاعة الطبيعية عادةً متوارثة منذ أجيال.,"Through the 1960s and 70s, formula companies expanded aggressively into Asia, Africa, and Latin America, where birth rates were high and breastfeeding had for generations been nearly universal.",FACT,Historical map-style visual of formula-industry expansion into three continents,"simple flat pastel world map/globe with three regions (roughly Asia, Africa, Latin America) highlighted with small generic building/factory icons and small arrow icons pointing outward from a central icon representing company headquarters, no country borders labeled","no real national flags, no real country names or borders drawn precisely, no brand logos",none,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. Flat pastel world map illustration with three broad regions subtly highlighted by soft color tint, small generic factory/building icons placed within each highlighted region, thin arrow lines radiating outward from one central icon toward the regions, symbolizing commercial expansion.","FACT (documented commercial expansion of formula marketing into LMICs, 1960s-70s)"
017,تحوّلت المستشفيات وأجنحة الولادة إلى قناة تسويقية: عُلَبٌ مجانية للأمّهات الجدد، هدايا، وعلاقات وثيقة مع الطاقم الصحّي.,"Hospitals and maternity wards became a marketing channel: free tins for new mothers, gift packs, and close relationships with health staff.",DOCUMENTED MARKETING PRACTICE,A generic hospital ward shown as a marketing channel: stacked free tins and gift boxes near hospital staff,"a simple hospital ward interior with several generic beds (not Maryam specifically), a small stack of identical blank formula tins and gift-box icons near a hospital reception desk, a generic uniformed staff figure standing near the stack",no Maryam or promoter specifically here — this is the systemic view with generic figures,none,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. Simple flat hospital ward interior with several generic beds in a row, a small reception desk in the foreground with a neat stack of identical blank formula tins and small gift-box icons on it, a generic staff figure standing beside the stack, clean pastel clinical color palette.",DOCUMENTED MARKETING PRACTICE (hospital distribution channels)
018,"البائعات بالزيّ الشبيه بزيّ المُمرِّضات، واللواتي عُرِفن في الصحافة أحياناً باسم ""مُمرِّضات الحليب""، كنّ ممارسةً موثَّقة، لا مجرَّد إشاعة.","The uniformed saleswomen — sometimes called ""milk nurses"" in the press — were a documented practice, not a rumor.",DOCUMENTED MARKETING PRACTICE,"A row of several identical uniformed representative figures, showing this was a systematic practice, not one isolated woman","a row of three to four identical  adult woman, crisp white clinical-style uniform dress with a simple white cap evoking mid-20th-century nursing dress, NO medical badge, NO insignia, NO text on uniform, calm confident posture, consistent appearance in every scene she appears in figures standing side by side, each holding an identical a plain generic infant-formula tin: pastel cream or light-blue cylindrical container with a rounded lid, completely blank surface, no logo, no wordmark, no readable text of any kind, fictional generic packaging, uniform formation to communicate a systemic sales-force practice",no single isolated figure — must show multiple identical figures to communicate scale/system,promoter,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. A simple row of three to four identical uniformed formula-company representative figures (recurring character formula-company representative: adult woman, crisp white clinical-style uniform dress with a simple white cap evoking mid-20th-century nursing dress, NO medical badge, NO insignia, NO text on uniform, calm confident posture, consistent appearance in every scene she appears in) standing side by side in matching poses, each holding an identical a plain generic infant-formula tin: pastel cream or light-blue cylindrical container with a rounded lid, completely blank surface, no logo, no wordmark, no readable text of any kind, fictional generic packaging, plain light background, composition emphasizing repetition and system rather than one individual.",DOCUMENTED MARKETING PRACTICE — press-documented 'milk nurse' sales forces
019,"اعتمد الإعلان على صور الحداثة والعلم، وأوحى أحياناً بأنّ الحليب الصناعي يُعادل حليب الأمّ أو يفوقه. وقد ظهرت أولى إشارات التدقيق العلني في هذه الممارسات قبل عام من ""قاتل الأطفال""، أي في عام 1973، على صفحات مجلة ""نيو إنترناشيوناليست"" البريطانية.","Advertising leaned on imagery of modernity and science, sometimes implying formula was equal or superior to breast milk. Some of the earliest public scrutiny of these tactics appeared a year before ""The Baby Killer,"" in 1973, in the British magazine New Internationalist.",DOCUMENTED MARKETING PRACTICE,"A generic vintage-style advertisement poster-within-the-scene showing scientific/modern imagery around a formula tin, without any real text","a simple flat illustrated poster/frame-within-frame showing a generic formula tin surrounded by small icons suggesting science and modernity (a simple flask icon, a simple sunburst/star icon suggesting superiority), presented as if pinned on a wall",no readable slogan text on the poster; no real brand imagery,none,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. A single simple flat illustrated advertisement-style poster shown pinned on a plain wall, featuring a generic blank formula tin at its center surrounded by small iconography suggesting science and modern superiority (a simple flask icon, a simple star/sunburst icon), no text anywhere on the poster.",DOCUMENTED MARKETING PRACTICE (advertising themes of modernity/scientific imagery)
020,نجحت هذه الاستراتيجية لأنّها استهدفت الأمّهات في أضعف لحظاتهنّ، مُغلَّفةً بسلطة المستشفى ومصداقيته.,"It worked because it targeted mothers at their most exhausted and uncertain moment, wrapped in the authority of a hospital.",REASONABLE INFERENCE,"Symbolic image: a generic exhausted mother figure inside a large protective/authoritative hospital-cross or building outline, showing vulnerability wrapped in institutional trust",a generic simple tired mother-with-infant silhouette centered inside a large soft outline shape of a simple hospital building or a simple cross/shield icon representing institutional authority surrounding her,no specific Maryam identity here; keep it generic to represent mothers broadly,none,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. A generic simple tired mother-and-infant silhouette centered within a large soft translucent outline of a hospital building or shield/cross shape that appears to surround and envelop her, symbolizing institutional trust and authority, calm muted color palette.",REASONABLE INFERENCE
021,وهذه هي البيولوجيا التي تُفسِّر خطورة الأمر: حليب الأمّ يعمل بمنطق العرض والطلب.,Here's the biology behind why this mattered. Breast milk runs on supply and demand.,PEER-REVIEWED EVIDENCE,Introduce the supply-and-demand physiological concept with a simple balanced-scale icon,"a simple flat balance-scale icon with a baby-suckling icon on one side and a milk-drop/gauge icon on the other, perfectly balanced, plain background",no text labels on the scale; pure iconography,none,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. A simple flat balance-scale icon centered on a plain background, one side holding a small baby-suckling icon, the other side holding a small milk-drop icon, the scale perfectly level to visually introduce the supply-and-demand concept.","PEER-REVIEWED EVIDENCE (lactation physiology, supply-and-demand)"
022,رضاعة الطفل تُحفِّز هرمونات تُخبر الجسد: أنتِج المزيد، من أجل الرضعة القادمة.,"A baby's suckling triggers hormones that tell the body: make more, for the next feed.",PEER-REVIEWED EVIDENCE,Zoom into the suckling-to-signal mechanism with a simple arrow/loop diagram,"a simple close diagram: a baby-suckling icon connected via a curved arrow to a small simple gland/hormone icon (abstract circular icon, not anatomical), which connects via another arrow looping back to a milk-production gauge icon rising","no realistic anatomy, no medical cross-section imagery",none,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. A simple flat circular-loop diagram on plain background: baby-suckling icon at the top connects via a curved arrow to a small abstract hormone/signal icon, which connects via another arrow to a milk-production gauge icon shown rising, forming a clear closed loop.",PEER-REVIEWED EVIDENCE (prolactin/suckling feedback loop)
023,عندما تحلّ الزجاجة محلّ عدّة رضعاتٍ يومياً، تضعف هذه الإشارة، وقد يتراجع الإدرار تدريجياً.,"Replace several feeds a day with a bottle, and that signal weakens. Over time, supply can fall.",PEER-REVIEWED EVIDENCE,Show the same loop diagram interrupted/weakened by a bottle replacing the suckling icon,"the same loop diagram as frame 22 but now a bottle icon is shown replacing the baby-suckling icon at several points, the arrow line rendered fainter/dashed, and the gauge icon shown lower than before",must visually connect back to frame 22's diagram style for continuity,none,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. The same simple circular-loop diagram style as the previous frame, but now a bottle icon appears in place of the suckling icon at multiple points around the loop, the connecting arrow lines rendered fainter or dashed to show a weakened signal, and the gauge icon shown at a lower level than before.",PEER-REVIEWED EVIDENCE (reduced stimulation and declining supply)
024,هذا لا يعني أنّ زجاجةً واحدة تُنهي الرضاعة الطبيعية. بل يعني أنّ التكميل المتكرِّر قد يجعل العودة إلى الرضاعة الكاملة أصعب على بعض الأمّهات.,This doesn't mean one bottle ruins breastfeeding. It means repeated supplementation can make going back to full breastfeeding harder for some mothers.,PEER-REVIEWED EVIDENCE,"Important nuance: one bottle is fine (small icon), but a repeated row of many bottles shows accumulating difficulty","on the left a single small bottle icon with a simple checkmark-style neutral icon (not alarming) beside it; on the right a longer repeated row of many bottle icons with a simple upward difficulty-arrow icon, showing contrast between one instance and repetition",no red X or alarming warning icon on the single bottle — must not shame occasional formula use,none,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. Split composition: left side shows one single small bottle icon with a small neutral circular icon beside it (calm, non-alarming); right side shows a longer repeated row of many identical bottle icons with a small upward-trending arrow icon above them, visually contrasting one instance against repetition without shaming either.",PEER-REVIEWED EVIDENCE / medical nuance clarification
025,وهنا يكمن الفخّ: العيّنة المجانية قد تنفد خلال أيام، بينما تراجُع إدرار الأمّ قد يستمرّ لفترةٍ أطول.,And that's the trap: a free sample can run out in days. The drop in a mother's own supply can outlast it.,REASONABLE INFERENCE,"Two parallel simple timeline bars: a short free-sample bar ending quickly, a longer supply-decline bar extending further","two horizontal simple bar/timeline icons stacked, top bar short and colored to represent the free-sample duration ending with a small empty-tin icon, bottom bar longer and colored to represent the supply-decline gauge extending well past where the top bar ends",no calendar numbers or date text; pure bar/timeline iconography,none,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. Two simple horizontal timeline bars stacked vertically on a plain background: the top, shorter bar ends with a small empty-tin icon at its tip representing how quickly the free sample runs out; the bottom, longer bar extends further to the right ending with a small lowered gauge icon, representing the more persistent decline in the mother's own supply.",REASONABLE INFERENCE
026,حليبٌ مجّانيٌّ يدخل، وحليب الأمّ يتراجع؛ دورةٌ تُحوِّل بهدوءٍ منتَجاً مجانياً إلى حاجةٍ متكرِّرة.,"Free milk in, less of her own milk left — a cycle that quietly turns a free product into a recurring need.",REASONABLE INFERENCE,"A closed circular cycle diagram summarizing Act 4: free tin in, supply down, purchase needed, repeat","a simple circular cycle diagram with three or four icons arranged in a loop connected by arrows: a free-tin icon, a downward gauge icon, a coin/purchase icon, looping back around",no text labels inside the icons themselves,none,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. A simple flat circular cycle diagram on plain background with three icons connected by curved arrows forming a closed loop: a free-tin icon, a downward-pointing gauge icon, and a small coin/purchase icon, the arrows looping continuously to represent a repeating cycle.",REASONABLE INFERENCE (summary transition into Act 5)
027,لأنّ الحليب الصناعي لا يبقى مجانياً. حين تنفد العيّنة، يجب على أحدهم شراء العُلبة التالية.,"Because formula doesn't stay free. Once the sample is gone, someone has to buy the next tin.",REASONABLE INFERENCE,"A generic family figure at a shop shelf reaching for a tin, coin icon prominent","a generic parent silhouette (not Maryam, to signal this is now about families broadly) standing before a shop shelf holding several identical blank tins, reaching for one while a coin icon is visible in their other hand",no hospital setting here — must be a shop/market setting,none,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. A generic parent silhouette standing in front of a simple shop shelf lined with several identical blank formula tins, reaching to take one tin while a small coin icon is visible in their other hand, plain flat shop interior.",REASONABLE INFERENCE
028,في الأسر المَيسورة، هذا عبءٌ يمكن تحمُّله. أمّا في الأسر الفقيرة، فهو يُزاحم مباشرةً ميزانية الغذاء.,"In wealthier households, that's a manageable expense. In poorer ones, it competes directly with the family's food budget.",REASONABLE INFERENCE,"Split-house comparison: a comfortable household budget vs a strained household budget, both including a formula tin in their small budget-pie icon",two simple house-shaped outlines side by side; left house has a simple pie-chart/budget icon with a small formula-tin slice comfortably among other slices; right house has a similar pie-chart icon where the formula-tin slice visibly crowds out a food-plate slice,no explicit currency symbols or numbers; pure icon proportion,none,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. Two simple flat house-outline shapes side by side on a plain background, each containing a small circular pie-chart budget icon. Left house: the pie chart shows a small tin-shaped slice comfortably alongside several other balanced slices. Right house: the pie chart shows the tin-shaped slice visibly larger, crowding against and shrinking a food-plate-shaped slice.",REASONABLE INFERENCE
029,تصف تقارير موثَّقة من تلك الحقبة أُسَراً كانت تُطيل عمر العُلبة الواحدة أكثر ممّا يجب، بتقليل كمّية المسحوق في كلّ رضعة.,Documented reports from the period describe families stretching a tin further than intended — using less powder per bottle to make it last.,PRIMARY-SOURCE ALLEGATION,"Show a generic parent adding a visibly small scoop of powder into a bottle of relatively large water volume, next to the same tin now looking like it will last longer","a generic parent figure using a small scoop to add powder into a bottle already mostly filled with water (water level clearly disproportionately higher than the tiny scoop of powder), the same {TIN} shown beside them still fairly full",no explicit warning icon or scary imagery; keep tone factual not alarmist,none,"minimalist flat 2D educational cartoon illustration, very round simple heads, tiny simple dot facial features, clean thin dark-navy outlines, consistent thin line weight, flat muted pastel color palette, subtle soft gradients only where already natural, plain white or very light gray background, uncluttered simple composition, simple geometric furniture and architecture, friendly educational visual language, strong clear silhouettes readable at small size, no photorealism, no 3D rendering, no painterly texture, no anime style, ABSOLUTELY NO TEXT, NO LETTERS, NO NUMBERS, NO WORDS anywhere in the image, no logos, no brand marks, no readable labels of any kind. A generic parent silhouette adding a visibly small scoop of powder into a feeding bottle that is already mostly filled with water, the water level clearly disproportionate to the tiny amount of powder, a plain generic infant-formula tin: pastel cream or light-blue cylindrical container with a rounded lid, completely blank surface, no logo, no wordmark, no readable text of any kind, fictional generic packaging resting on the table beside them still appearing fairly full, plain kitchen setting.",PRIMARY-SOURCE ALLEGATION / DOCUMENTED (over-dilution reports from 1970s investigations)
